description,category
McDonald's burger meal,Food
Uber ride to airport,Transport
Netflix monthly subscription,Entertainment
Swiggy biryani order,Food
Ola cab booking,Transport
Pizza Hut delivery order,Food
Rapido bike ride,Transport
Hotstar annual plan,Entertainment
Dominos pizza order,Food
Spotify premium plan,Entertainment
Zomato chicken order,Food
Auto rickshaw commute,Transport
YouTube Premium monthly,Entertainment
Lunch at restaurant,Food
BookMyShow movie tickets,Entertainment
Coffee at Starbucks,Food
Cab ride to station,Transport
Amazon Prime renewal,Entertainment
Dinner at hotel,Food
Bus ticket booking,Transport
Tea and snacks,Food
Metro card recharge,Transport
Disney Plus subscription,Entertainment
Biryani from restaurant,Food
Petrol station fuel,Transport
Chai at tapri,Food
Ola auto booking,Transport
Gaana music subscription,Entertainment
Sunday brunch buffet,Food
Flight ticket booking,Transport
Cold coffee at cafe,Food
Train ticket booking,Transport
Burger at food court,Food
Bike taxi booking,Transport
OTT platform subscription,Entertainment
Pasta at restaurant,Food
Airport cab booking,Transport
Web series subscription,Entertainment
Snacks from bakery,Food
City bus pass recharge,Transport
DMART weekly shopping,Groceries
BigBasket grocery order,Groceries
Fresh vegetables market,Groceries
Milk and dairy products,Groceries
Cooking oil purchase,Groceries
Reliance Fresh groceries,Groceries
Blinkit quick delivery,Groceries
Eggs bread butter,Groceries
Zepto grocery delivery,Groceries
Fruits from market,Groceries
Rice and dal purchase,Groceries
Weekly sabji purchase,Groceries
Supermarket grocery run,Groceries
Flour sugar purchase,Groceries
Organic vegetables order,Groceries
Local kirana store,Groceries
Atta dal rice stock,Groceries
Spices masala purchase,Groceries
Onion tomato potatoes,Groceries
Paneer and curd purchase,Groceries
Electricity bill payment,Bills
Internet broadband bill,Bills
Mobile phone bill,Bills
Water bill payment,Bills
Gas cylinder booking,Bills
Airtel postpaid bill,Bills
ACT broadband monthly,Bills
BESCOM electricity bill,Bills
Jio recharge monthly,Bills
PhonePe electricity pay,Bills
Google Pay water bill,Bills
House rent payment,Bills
Piped gas bill,Bills
Cable TV subscription,Bills
Landline bill payment,Bills
Apollo pharmacy medicines,Healthcare
Dentist appointment fee,Healthcare
PharmEasy medicine order,Healthcare
Eye checkup doctor visit,Healthcare
Netmeds online pharmacy,Healthcare
Hospital consultation fee,Healthcare
Blood test lab charges,Healthcare
Chemist medicine purchase,Healthcare
Vaccination clinic fee,Healthcare
Physiotherapy session fee,Healthcare
Gym membership monthly,Healthcare
Yoga class fees,Healthcare
Vitamin supplements order,Healthcare
Health checkup package,Healthcare
Medical insurance claim,Healthcare